iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
1,-39157.6,-1851.36,-12931.1,-45700.144,-43988.04939,85484.4025
2,76622,-2146.21,257816,96491.05725,100594.6156,417149.6
3,200470,-1731.19,231668,247696.4578,253364.1268,385118.3
4,277371,-1050.13,91188.1,341065.8843,347515.5506,213030.4225
5,268550,-251.507,-29351.2,329281.8461,335857.9255,65369.78
6,188141,412.371,-109959,229967.5705,236184.5182,-33374.775
7,65298.5,787.657,-184632,79025.78268,84606.11264,-124849.2
8,-39835.1,836.455,-209826,-49822.65488,-44951.24635,-155711.85
9,-124390,642.512,-211622,-153164.8272,-148876.4369,-157911.95
10,-174824,339.315,-189571,-214575.0609,-210570.9787,-130899.475
11,-189434,9.19347,-151954,-232067.912,-228045.051,-84818.65
12,-160706,-257.201,-112632,-196549.7788,-192293.3761,-36649.2
13,-101080,-340.217,-75703.3,-123406.2342,-118819.6074,8588.4575
14,-40162.6,-295.62,-48682.5,-48837.0505,-43970.82523,41688.9375
15,20742.2,-174.779,-26790.2,25623.29928,30671.87006,68507.005
16,57619.7,-2.43254,-9405.38,70587.11236,75661.52387,89803.4095
17,66677.1,84.1795,-3189.6,81576.32761,86618.04924,97417.74
18,55325.5,163.938,-3259.62,67572.91345,72499.30805,97331.9655
19,33544.3,183.298,-7199.89,40867.22745,45647.66714,92505.13475
20,13251.7,144.866,-12268.7,16055.87165,20711.24268,86295.8425
21,-140.872,85.1717,-16289.9,-276.9035325,4292.553895,81369.8725
22,-4693.18,24.8983,-17544.5,-5779.645918,-1241.938708,79832.9875
23,-4188.13,-28.1619,-16126.9,-5095.960923,-534.3476916,81569.5475
24,-1068.49,-61.8816,-12240.2,-1233.09529,3383.983497,86330.755
25,2474.28,-69.902,-6941.25,3116.62295,7796.829198,92821.96875
26,5338.04,-61.5528,-1386.53,6614.50118,11350.80402,99626.50075
27,5613.88,-40.4011,2073.98,6926.494348,11699.4784,103865.6255
28,5294.14,-12.02,4639.95,6500.046,11281.85453,107008.9388
29,3361.18,24.5841,5318.88,4087.329978,8841.767526,107840.628
30,745.276,43.4756,4366.96,859.70549,5568.392973,106674.526
31,-2161,44.1946,2299.63,-2701.363385,1959.278787,104142.0467
32,-5048.07,33.6756,-262.012,-6225.13836,-1603.788749,101004.0353
33,-7574.96,14.571,-2692.35,-9297.175475,-4697.481131,98026.87125
34,-9235.23,-10.7758,-4404.02,-11299.9564,-6696.959979,95930.0755
35,-9727.26,-23.941,-5125.15,-11886.56578,-7268.463831,95046.69125
36,-9359.35,-19.8036,-5075.17,-11440.94434,-6810.309511,95107.91675
37,-8719.39,-12.668,-4771,-10665.73445,-6025.71725,95480.525
38,-7966.5,-5.40355,-4377.18,-9752.343151,-5104.809052,95962.9545
39,-7216.48,1.7462,-3994.44,-8842.327095,-4189.436398,96431.811
40,-6612.65,7.28892,-3757.65,-8109.425177,-3452.480231,96721.87875
41,-6212.3,9.57077,-3730.4,-7621.791693,-2960.344725,96755.26
42,-5977.66,10.6946,-3834.28,-7335.734385,-2669.888788,96628.007
43,-5990.38,11.4664,-4095.95,-7352.26184,-2682.764046,96307.46125
44,-6266.17,11.0424,-4501.77,-7689.58519,-3017.590387,95810.33175
45,-6705.09,9.22877,-4977.14,-8225.040493,-3551.827507,95228.0035
46,-7147.78,7.34323,-5392.32,-8765.025957,-4092.680931,94719.408
47,-7551.33,6.32346,-5719.74,-9258.125488,-4590.90257,94318.3185
48,-7906.63,4.0131,-5975.71,-9690.537798,-5032.508283,94004.75525
49,-8124.58,-1.56156,-6101.45,-9950.697589,-5304.117139,93850.72375
50,-8114.29,-9.52657,-6029.72,-9928.335202,-5295.165382,93938.593
51,-7862.78,-16.1732,-5738.65,-9612.09333,-4996.650894,94295.15375
52,-7423.58,-19.0254,-5271.49,-9070.579385,-4481.009531,94867.42475
53,-6914.63,-18.8731,-4740.26,-8447.302203,-3894.05902,95518.1815
54,-6470.71,-18.3413,-4276.27,-7904.151658,-3397.828967,96086.56925
55,-6088.45,-19.1601,-3902.03,-7434.880128,-2983.916677,96545.01325
56,-5766.04,-21.5204,-3624.78,-7037.03651,-2647.830329,96884.6445
57,-5485.79,-24.8621,-3431.42,-6689.636677,-2366.438384,97121.5105
58,-5262.08,-28.5856,-3335.92,-6411.03064,-2156.72309,97238.498
59,-5103.75,-32.0536,-3340.87,-6212.82809,-2029.136543,97232.43425
60,-5026.05,-34.8271,-3463.32,-6114.248053,-2001.996282,97082.433
