time,field,initial_residual,final_residual,linear_iterations
1,Ux,1,0.0860168,5
1,Uy,1,0.0403332,5
1,p,1,0.00992621,7
1,omega,0.213086,0.00957341,1
1,k,1,0.0101617,2
2,Ux,0.258965,0.00107276,2
2,Uy,0.332116,0.0203858,1
2,p,0.325427,0.00215569,6
2,omega,0.179255,0.01641,1
2,k,0.408376,0.00884462,2
3,Ux,0.348406,0.0119013,2
3,Uy,0.3198,0.00906418,2
3,p,0.183565,0.00147035,6
3,omega,0.147719,0.00260537,2
3,k,0.346095,0.00894018,2
4,Ux,0.327738,0.0113156,2
4,Uy,0.249875,0.00636151,2
4,p,0.288409,0.0024941,6
4,omega,0.136265,0.00214237,2
4,k,0.329139,0.00719042,2
5,Ux,0.23128,0.00742567,2
5,Uy,0.187748,0.00481775,2
5,p,0.370328,0.0036942,5
5,omega,0.157171,0.0156039,1
5,k,0.347294,0.00566421,2
6,Ux,0.220715,0.00577739,2
6,Uy,0.1732,0.00455195,2
6,p,0.368634,0.00186567,6
6,omega,0.138746,0.0118056,1
6,k,0.342789,0.0311816,1
7,Ux,0.229984,0.0174178,1
7,Uy,0.194872,0.00378693,2
7,p,0.32269,0.00154109,6
7,omega,0.120474,0.0081791,1
7,k,0.289299,0.0261879,1
8,Ux,0.220753,0.0210989,1
8,Uy,0.211427,0.0030894,2
8,p,0.361639,0.00153969,6
8,omega,0.129442,0.00710356,1
8,k,0.222761,0.0179643,1
9,Ux,0.183151,0.0181058,1
9,Uy,0.206342,0.00244912,2
9,p,0.480779,0.00459143,5
9,omega,0.113068,0.00659963,1
9,k,0.206004,0.0151026,1
10,Ux,0.17844,0.0169339,1
10,Uy,0.188806,0.0188477,1
10,p,0.356416,0.00160645,6
10,omega,0.0866671,0.00568688,1
10,k,0.142411,0.0115145,1
11,Ux,0.183534,0.00279912,2
11,Uy,0.19023,0.00305846,2
11,p,0.253573,0.00196748,5
11,omega,0.0777347,0.00598721,1
11,k,0.124491,0.00898603,1
12,Ux,0.185161,0.00297957,2
12,Uy,0.196863,0.0028022,2
12,p,0.226114,0.00178107,5
12,omega,0.070387,0.00577454,1
12,k,0.102418,0.00854033,1
13,Ux,0.199099,0.00292802,2
13,Uy,0.197081,0.0183043,1
13,p,0.234,0.000877011,6
13,omega,0.0734692,0.00577946,1
13,k,0.0948928,0.00782633,1
14,Ux,0.188853,0.00335515,2
14,Uy,0.166924,0.00244481,2
14,p,0.238887,0.00151678,6
14,omega,0.0717709,0.0058564,1
14,k,0.104857,0.00771875,1
15,Ux,0.175066,0.00321782,2
15,Uy,0.146604,0.0024656,2
15,p,0.29897,0.00120868,6
15,omega,0.0649054,0.00643547,1
15,k,0.0910167,0.00770925,1
16,Ux,0.156699,0.00293715,2
16,Uy,0.12865,0.0024312,2
16,p,0.37622,0.00345107,5
16,omega,0.06009,0.00091275,2
16,k,0.0848232,0.00833145,1
17,Ux,0.143509,0.00338167,2
17,Uy,0.123122,0.002787,2
17,p,0.366666,0.00264053,5
17,omega,0.0543343,0.000946898,2
17,k,0.0795193,0.00112656,2
18,Ux,0.130133,0.00368801,2
18,Uy,0.120323,0.00362085,2
18,p,0.305504,0.00204157,5
18,omega,0.0506341,0.000979603,2
18,k,0.0748389,0.00120569,2
19,Ux,0.12109,0.00374414,2
19,Uy,0.1178,0.00417472,2
19,p,0.284659,0.00130951,5
19,omega,0.0465996,0.000977611,2
19,k,0.0689246,0.00121078,2
20,Ux,0.112486,0.00348613,2
20,Uy,0.112702,0.00405622,2
20,p,0.302202,0.00109858,5
20,omega,0.0445553,0.000929342,2
20,k,0.065153,0.00121664,2
21,Ux,0.102497,0.00310456,2
21,Uy,0.110295,0.00386347,2
21,p,0.34323,0.00155828,5
21,omega,0.0431111,0.000908862,2
21,k,0.0634859,0.00124314,2
