iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
1,20145.1,-909.152,35014.1,25791.4587,27334.18055,144217.2725
2,343314,-1131.12,472331,421945.272,425767.0593,679930.475
3,682149,-954.869,468540,836802.2395,842241.5058,675286.5
4,799654,-569.792,281352,980274.1452,986550.5603,445981.2
5,654036,-129.307,113391,801352.5011,807846.1009,240228.975
6,336179,233.936,-121215,411532.7034,417748.4102,-47163.375
7,-26253.5,439.33,-371319,-32698.71675,-27085.20266,-353540.775
8,-307274,474.206,-543833,-376991.5524,-372098.5857,-564870.425
9,-503782,366.213,-578386,-617581.5609,-613294.8804,-607197.85
10,-597410,196.297,-513384,-732067.7138,-728148.427,-527570.4
11,-561945,8.33806,-367959,-688392.8391,-684538.169,-349424.775
12,-401344,-133.069,-206947,-491483.3905,-487444.2142,-152185.075
13,-228826,-202.074,-82295.5,-280064.3094,-275686.6981,513.0125
14,-72996.5,-200.422,12873.6,-89175.19555,-84445.58654,117095.16
15,39550.2,-144.924,71539.2,48626.5269,53608.90515,188960.52
16,103802,-58.4384,87980.6,127229.037,132307.8331,209101.235
17,120872,14.2552,69092.1,148050.7374,153103.6605,185962.8225
18,107063,67.8274,36106.6,131069.0864,135978.1747,145555.585
19,75937.6,90.2629,-4598.39,92912.98795,97636.78729,95691.97225
20,45742.1,83.2281,-34934.5,55932.11808,60452.42795,58530.2375
21,17053.9,56.533,-65234.7,20821.77458,25147.1698,21412.4925
22,4530.18,17.8737,-76478.8,5527.575218,9663.64479,7638.47
23,-741.43,-19.7849,-80315.9,-884.0152475,3067.491924,2938.0225
24,1623.92,-55.0435,-72404.4,2056.730288,5825.750886,12629.61
25,9752.91,-95.2646,-58472.9,12064.01389,15680.31771,29695.6975
26,18322.3,-114.64,-42784.1,22585.2515,26035.06392,48914.4775
27,26899.4,-125.475,-27336.6,33105.47188,36393.78677,67837.665
28,30571.7,-125.744,-15976.9,37604.3689,40719.10446,81753.2975
29,27887.3,-121.407,-9998.88,34310.66608,37256.6032,89076.372
30,19820.8,-112.502,-8627.9,24418.29495,27193.46421,90755.8225
31,9118.18,-102.021,-10371.7,11294.74623,13908.23526,88619.6675
32,-1246.01,-91.0725,-13178.2,-1414.798438,1045.739542,85181.705
33,-9131.42,-82.2221,-16037,-11085.26743,-8761.716742,81679.675
