time,field,initial_residual,final_residual,linear_iterations
1,Ux,1,0.0302567,5
1,Uy,1,0.0503842,4
1,p,1,0.00797642,7
1,omega,0.408041,0.0162462,1
1,k,1,0.00760715,2
2,Ux,0.34735,0.00121019,2
2,Uy,0.408517,0.0235808,1
2,p,0.715138,0.00676256,7
2,omega,0.240118,0.0202081,1
2,k,0.383894,0.011421,2
3,Ux,0.381993,0.014188,2
3,Uy,0.32098,0.00900711,2
3,p,0.238181,0.00185615,6
3,omega,0.215761,0.00287356,2
3,k,0.381011,0.012149,2
4,Ux,0.336421,0.01408,2
4,Uy,0.257911,0.00565537,2
4,p,0.149714,0.000912862,6
4,omega,0.192935,0.00323887,2
4,k,0.38541,0.0101112,2
5,Ux,0.29103,0.0128324,2
5,Uy,0.210069,0.00395812,2
5,p,0.176792,0.000792916,6
5,omega,0.214115,0.0203306,1
5,k,0.394285,0.00532996,2
6,Ux,0.345125,0.00552417,2
6,Uy,0.277725,0.0262734,1
6,p,0.235899,0.00112438,7
6,omega,0.215708,0.0155014,1
6,k,0.343204,0.0304114,1
7,Ux,0.214932,0.0178497,1
7,Uy,0.253317,0.0188952,1
7,p,0.303399,0.00204661,7
7,omega,0.168922,0.0126217,1
7,k,0.281114,0.0242097,1
8,Ux,0.171862,0.0129359,1
8,Uy,0.255094,0.0150443,1
8,p,0.258759,0.00161631,7
8,omega,0.146767,0.010119,1
8,k,0.244429,0.0168511,1
9,Ux,0.14729,0.0106253,1
9,Uy,0.250222,0.0188014,1
9,p,0.164096,0.0009243,6
9,omega,0.118686,0.00808977,1
9,k,0.204044,0.017254,1
10,Ux,0.165096,0.0145316,1
10,Uy,0.232255,0.0174017,1
10,p,0.135642,0.000823464,6
10,omega,0.0941582,0.00711737,1
10,k,0.180504,0.0122398,1
11,Ux,0.178271,0.00277348,2
11,Uy,0.209162,0.0182031,1
11,p,0.129422,0.00066561,6
11,omega,0.102036,0.00744724,1
11,k,0.165167,0.0120099,1
12,Ux,0.184444,0.00354558,2
12,Uy,0.149513,0.0123363,1
12,p,0.138129,0.0010167,5
12,omega,0.102503,0.00857579,1
12,k,0.150601,0.0124763,1
13,Ux,0.191246,0.00301062,2
13,Uy,0.16148,0.00251105,2
13,p,0.157877,0.00122318,5
13,omega,0.120516,0.00838532,1
13,k,0.152353,0.013413,1
14,Ux,0.177456,0.00279148,2
14,Uy,0.221529,0.00402622,2
14,p,0.193573,0.00180237,6
14,omega,0.154914,0.00889936,1
14,k,0.151214,0.0135015,1
