iteration,p_upstream_kinematic,p_outlet_kinematic,p_step_kinematic,static_pressure_delta_pa,total_pressure_drop_pa,p_step_abs_pa
1,-444087,-8306.99,-443030,-533830.5123,-532148.2441,-441386.75
2,-548491,-10299.6,-557946,-659284.465,-655390.5146,-582158.85
3,-471721,-8692.72,-503638,-567209.643,-561801.4879,-515631.55
4,-283685,-5156.08,-331070,-341197.927,-335038.349,-304235.75
5,-74172.7,-1332.13,-124146,-89229.69825,-82912.15165,-50753.85
6,93006.6,1810.71,51956.5,111714.9653,117745.3676,164971.7125
7,183289,3547.81,159482,220182.9578,225653.1487,296690.45
8,189987,3696.81,180602,228205.4828,233059.1857,322562.45
9,143621,2735.95,144138,172584.1862,176957.7328,277894.05
10,67185.9,1285.5,72019.3,80727.99,84879.99568,189548.6425
11,-7403.28,-115.419,-1553.57,-8927.629725,-4738.069377,99421.87675
12,-58053.4,-1044.72,-50090.5,-69835.633,-65440.2926,39964.1375
13,-78115.9,-1400.17,-67668,-93976.76925,-89323.48784,18431.7
14,-71900.5,-1233.79,-59998,-86566.71975,-81697.59795,27827.45
15,-47129.8,-736.982,-35396.3,-56831.20205,-51838.02368,57964.5325
16,-18051.6,-230.603,-7614.42,-21830.72133,-16804.59597,91997.3355
17,6982.71,192.53,15101.4,8317.9705,13303.54143,119824.215
18,22563.1,463.954,28285.1,27071.45385,31972.17714,135974.2475
19,26505.7,512.836,30101.4,31841.2584,36651.38518,138199.215
20,21683.8,404.023,23501.1,26067.72682,30808.0527,130113.8475
21,11527,203.746,11973.6,13870.98615,18577.70388,115992.66
22,826.614,7.25986,400.343,1003.708822,5711.317277,101815.4202
23,-7578.2,-129.304,-8388.26,-9124.8976,-4393.003449,91049.3815
24,-11287.4,-179.601,-12184.8,-13607.05378,-8842.158597,86398.62
25,-11393.2,-169.168,-12086.3,-13749.4392,-8954.483162,86519.2825
26,-8921.82,-113.097,-9408.61,-10790.68568,-5976.058495,89799.45275
27,-4792.82,-38.5337,-5191.75,-5824.000718,-1003.669679,94965.10625
28,-874.952,25.3861,-1230.02,-1102.914172,3711.698238,99818.2255
29,1540.09,62.6897,1178.14,1809.815368,6612.16453,102768.2215
30,2843.56,76.2444,2342.99,3389.96161,8178.767686,104195.1628
31,2807.15,73.7841,2078.84,3348.373228,8124.362309,103871.579
32,1815.43,48.2376,933.767,2164.81069,6932.793912,102468.8646
33,1.02595,8.83946,-961.11,-9.57154975,4757.371652,100147.6402
34,-1760.13,-17.712,-2794.06,-2134.46205,2635.800075,97902.2765
35,-2889.39,-28.7909,-3960.62,-3504.233898,1271.092632,96473.2405
36,-3432.01,-22.937,-4515.8,-4176.114425,603.0704443,95793.145
37,-3366.51,-18.4763,-4360.07,-4101.341283,680.9531883,95983.91425
38,-2925.06,-5.34948,-3855.76,-3576.645387,1206.515318,96601.694
39,-2142.26,13.3569,-2975.75,-2640.630703,2140.062799,97679.70625
40,-1482.39,21.4209,-2209.91,-1842.168353,2934.752167,98617.86025
41,-1144.45,21.8379,-1780.88,-1428.702678,3344.480664,99143.422
