time,field,initial_residual,final_residual,linear_iterations
1,Ux,1,0.048507,6
1,Uy,1,0.0510497,5
1,p,1,0.00942426,8
1,omega,0.0453915,0.00105702,2
1,k,1,0.0351496,2
2,Ux,0.48134,0.0197846,2
2,Uy,0.260525,0.00992603,2
2,p,0.0522233,0.000464196,6
2,omega,0.106228,0.010257,1
2,k,0.452397,0.0099038,2
3,Ux,0.445506,0.019182,2
3,Uy,0.215078,0.00964628,2
3,p,0.0311962,0.000182,6
3,omega,0.136036,0.00834778,1
3,k,0.335064,0.00680392,2
4,Ux,0.322696,0.0136026,2
4,Uy,0.188166,0.00622023,2
4,p,0.026935,6.89216e-05,9
4,omega,0.081778,0.00515813,1
4,k,0.221621,0.00343337,2
5,Ux,0.229408,0.0096664,2
5,Uy,0.123592,0.00483045,2
5,p,0.0335926,0.000335174,8
5,omega,0.0663012,0.00413035,1
5,k,0.176693,0.00233036,2
6,Ux,0.106753,0.00348817,2
6,Uy,0.0950818,0.00320117,2
6,p,0.118141,0.000835143,9
6,omega,0.0572403,0.0037189,1
6,k,0.149152,0.0134987,1
7,Ux,0.119108,0.00427606,2
7,Uy,0.0592933,0.0016372,2
7,p,0.0953415,0.000785301,9
7,omega,0.0529131,0.00346226,1
7,k,0.148689,0.0130674,1
8,Ux,0.219649,0.0092243,2
8,Uy,0.0702172,0.00229504,2
8,p,0.0492965,0.000298396,6
8,omega,0.0472382,0.00276039,1
8,k,0.14074,0.0113982,1
9,Ux,0.250904,0.0109366,2
9,Uy,0.0929429,0.00323196,2
9,p,0.0425515,0.000392327,6
9,omega,0.0383539,0.00251771,1
9,k,0.127261,0.0106435,1
10,Ux,0.231641,0.00994551,2
10,Uy,0.104473,0.00376585,2
10,p,0.0502975,0.000491629,7
10,omega,0.0337537,0.00237492,1
10,k,0.121334,0.00960557,1
11,Ux,0.142028,0.00552199,2
11,Uy,0.107413,0.00320086,2
11,p,0.0833286,0.000596132,7
11,omega,0.0280038,0.00225421,1
11,k,0.100372,0.008382,1
12,Ux,0.0465167,0.000847561,2
12,Uy,0.0939132,0.00200157,2
12,p,0.347243,0.00241977,9
12,omega,0.0249959,0.00213363,1
12,k,0.0886997,0.00766264,1
13,Ux,0.0888976,0.00334659,2
13,Uy,0.0754631,0.00172184,2
13,p,0.0800807,0.000406054,8
